stage_name,stage_date,stage_length,stage_GC_rank,stage_GC_rider,stage_GC_time,stage_GC_team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),1,EVENEPOEL Remco ,0:21:18,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),25,AFFINI Edoardo ,1:26,Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),26,JUNGELS Bob ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),27,WÜRTZ SCHMIDT Mads ,1:27,Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),28,DE PLUS Laurens ,",,",INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),29,MOLLEMA Bauke ,",,",Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),30,MILAN Jonathan ,",,",Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),31,CARUSO Damiano ,1:28,Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),32,ARENSMAN Thymen ,1:31,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),33,BETTIOL Alberto ,1:32,EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),34,BYSTRØM Sven Erik ,",,",Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),35,ULISSI Diego ,1:34,UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),36,URÁN Rigoberto ,1:35,EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),37,PÖSTLBERGER Lukas ,1:36,Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),38,HAIG Jack ,",,",Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),39,KONRAD Patrick ,1:37,BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),40,GIBBONS Ryan ,1:38,UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),41,CORT Magnus ,",,",EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),42,GUERNALEC Thibault ,",,",Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),43,ČERNÝ Josef ,",,",Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),44,TAARAMÄE Rein ,1:40,Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),45,DE MARCHI Alessandro ,1:41,Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),46,FRIGO Marco ,",,",Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),47,PINOT Thibaut ,1:43,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),48,HESSMANN Michel ,1:44,Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),49,HEALY Ben ,1:45,EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),50,GEE Derek ,1:47,Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),51,SKUJIŅŠ Toms ,1:48,Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),52,SCOTSON Callum ,1:49,Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),53,MAESTRI Mirco ,",,",EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),54,SÜTTERLIN Jasha ,1:51,Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),55,VANHOUCKE Harm ,1:53,Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),56,OLDANI Stefano ,1:56,Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),57,CARTHY Hugh ,",,",EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),58,STORK Florian ,1:58,Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),59,ALEOTTI Giovanni ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),60,KIRSCH Alex ,2:01,Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),61,RIOU Alan ,",,",Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),62,VERRE Alessandro ,2:02,Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),63,MOSCON Gianni ,",,",Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),64,DENNIS Rohan ,",,",Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),65,BUITRAGO Santiago ,",,",Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),66,ZANA Filippo ,2:03,Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),67,FORMOLO Davide ,2:07,UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),68,KUSS Sepp ,2:09,Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),69,PARET-PEINTRE Aurélien ,2:10,AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),70,FETTER Erik ,",,",EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),71,POZZOVIVO Domenico ,2:11,Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),72,WARBASSE Larry ,",,",AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),73,SÁNCHEZ Luis León ,2:12,Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),74,ALBANESE Vincenzo ,2:14,EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),75,VERVAEKE Louis ,2:15,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),76,MAYRHOFER Marius ,2:16,Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),77,LASTRA Jonathan ,",,",Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),78,BATTISTELLA Samuele ,2:19,Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),79,STEWART Campbell ,2:20,Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),80,CAICEDO Jonathan Klever ,2:21,EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),81,SCARONI Christian ,2:25,Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),82,CONCI Nicola ,",,",Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),83,VERONA Carlos ,",,",Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),84,BOUWMAN Koen ,2:26,Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),85,VELASCO Simone ,2:27,Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),86,SERRY Pieter ,2:29,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),87,CONTI Valerio ,2:31,Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),88,TUSVELD Martijn ,",,",Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),89,RUSSO Clément ,2:32,Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),90,ARASHIRO Yukiya ,2:33,Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),91,CEPEDA Jefferson Alexander ,",,",EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),92,BAUDIN Alex ,2:34,AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),93,COVI Alessandro ,",,",UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),94,RODRÍGUEZ Óscar ,2:36,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),95,LAPEIRA Paul ,2:38,AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),96,PUCCIO Salvatore ,2:41,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),97,TORRES Albert ,2:42,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),98,WILLIAMS Stephen ,2:44,Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),99,PALZER Anton ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),100,RUBIO Einer Augusto ,2:45,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),101,RICCITELLO Matthew ,",,",Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),102,VENDRAME Andrea ,2:46,AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),103,SBARAGLI Kristian ,",,",Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),104,PASQUALON Andrea ,2:47,Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),105,BAIS Davide ,2:48,EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),106,ZOCCARATO Samuele ,",,",Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),107,PRONSKIY Vadim ,2:49,Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),108,PRODHOMME Nicolas ,",,",AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),109,CONSONNI Simone ,",,",Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),110,MARIT Arne ,2:50,Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),111,RIESEBEEK Oscar ,",,",Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),112,BAIS Mattia ,2:51,EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),113,DELETTRE Alexandre ,",,",Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),114,SWIFT Ben ,2:52,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),115,QUARTERMAN Charlie ,",,",Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),116,HVIDEBERG Jonas Iversby ,2:53,Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),117,STEWART Jake ,2:54,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),118,BERWICK Sebastian ,2:57,Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),119,HIRT Jan ,",,",Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),120,LEYSEN Senne ,2:59,Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),121,KONOVALOVAS Ignatas ,",,",Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),122,ACKERMANN Pascal ,",,",UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),123,MOLARD Rudy ,3:00,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),124,REX Laurenz ,",,",Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),125,VAN DEN BERG Lars ,3:01,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),126,CLARKE Simon ,3:02,Israel - Premier Tech
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),127,CAVENDISH Mark ,3:03,Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),128,PETILLI Simone ,",,",Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),129,TOUMIRE Hugo ,3:06,Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),130,TONELLI Alessandro ,",,",Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),131,ROTA Lorenzo ,3:07,Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),132,BARGUIL Warren ,3:08,Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),133,GHEBREIGZABHIER Amanuel ,",,",Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),134,HUYS Laurens ,3:10,Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),135,GABBURO Davide ,",,",Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),136,LIENHARD Fabian ,3:11,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),137,VERGAERDE Otto ,",,",Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),138,DAINESE Alberto ,",,",Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),139,TESFATSION Natnael ,3:13,Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),140,FORTUNATO Lorenzo ,3:14,EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),141,BENEDETTI Cesare ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),142,GROVES Kaden ,3:15,Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),143,DOMBROWSKI Joe ,",,",Astana Qazaqstan Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),144,BOUET Maxime ,3:16,Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),145,SINKELDAM Ramon ,",,",Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),146,MARCELLUSI Martin ,3:19,Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),147,FIORELLI Filippo ,",,",Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),148,GLOAG Thomas ,3:21,Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),149,GAVAZZI Francesco ,3:23,EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),150,MÄRKL Niklas ,",,",Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),151,RIES Michel ,3:25,Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),152,CIMOLAI Davide ,",,",Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),153,OOMEN Sam ,",,",Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),154,GAVIRIA Fernando ,3:26,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),155,ZAMBANINI Edoardo ,3:28,Bahrain - Victorious
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),156,BALLERINI Davide ,3:29,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),157,ROCHAS Rémy ,",,",Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),158,CHEREL Mikaël ,",,",AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),159,COVILI Luca ,3:33,Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),160,KANTER Max ,3:41,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),161,CHAMPION Thomas ,3:42,Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),162,KONYCHEV Alexander ,3:43,Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),163,PARET-PEINTRE Valentin ,3:44,AG2R Citroën Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),164,DALLA VALLE Nicolas ,",,",Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),165,STOJNIĆ Veljko ,3:46,Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),166,BIDARD François ,3:47,Cofidis
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),167,BONIFAZIO Niccolò ,3:49,Intermarché - Circus - Wanty
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),168,DEKKER David ,3:50,Team Arkéa Samsic
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),169,KRIEGER Alexander ,3:52,Alpecin-Deceuninck
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),170,SEVILLA Diego Pablo ,",,",EOLO-Kometa
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),171,MAGLI Filippo ,3:53,Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),172,VACEK Karel ,3:54,Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),173,MULUBRHAN Henok ,4:05,Green Project-Bardiani CSF-Faizanè
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),174,ROJAS José Joaquín ,4:07,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),175,GANDIN Stefano ,4:12,Team Corratec - Selle Italia
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),176,IACCHI Alessandro ,4:26,Team Corratec - Selle Italia
Stage 2 | Teramo - San Salvo,07/05,(202k),1,EVENEPOEL Remco,5:16:29,Soudal - Quick Step
Stage 2 | Teramo - San Salvo,07/05,(202k),2,GANNA Filippo,0:22,INEOS Grenadiers
Stage 2 | Teramo - San Salvo,07/05,(202k),3,ALMEIDA João,0:29,UAE Team Emirates
Stage 2 | Teramo - San Salvo,07/05,(202k),4,KÜNG Stefan,0:43,Groupama - FDJ
Stage 2 | Teramo - San Salvo,07/05,(202k),5,ROGLIČ Primož,",,",Jumbo-Visma
Stage 2 | Teramo - San Salvo,07/05,(202k),6,THOMAS Geraint,0:55,INEOS Grenadiers
Stage 2 | Teramo - San Salvo,07/05,(202k),7,VLASOV Aleksandr,",,",BORA - hansgrohe
Stage 2 | Teramo - San Salvo,07/05,(202k),8,GEOGHEGAN HART Tao,0:59,INEOS Grenadiers
Stage 2 | Teramo - San Salvo,07/05,(202k),9,MCNULTY Brandon,1:00,UAE Team Emirates
Stage 2 | Teramo - San Salvo,07/05,(202k),10,VINE Jay,1:05,UAE Team Emirates
Stage 2 | Teramo - San Salvo,07/05,(202k),11,MATTHEWS Michael,1:09,Team Jayco AlUla
Stage 2 | Teramo - San Salvo,07/05,(202k),12,ARMIRAIL Bruno,1:16,Groupama - FDJ
Stage 2 | Teramo - San Salvo,07/05,(202k),13,MILAN Jonathan,1:17,Bahrain - Victorious
Stage 2 | Teramo - San Salvo,07/05,(202k),14,PEDERSEN Mads,1:21,Trek - Segafredo
Stage 2 | Teramo - San Salvo,07/05,(202k),15,HEPBURN Michael,",,",Team Jayco AlUla
Stage 2 | Teramo - San Salvo,07/05,(202k),16,CATTANEO Mattia,1:23,Soudal - Quick Step
Stage 2 | Teramo - San Salvo,07/05,(202k),17,KÄMNA Lennard,",,",BORA - hansgrohe
Stage 2 | Teramo - San Salvo,07/05,(202k),18,DENZ Nico,",,",BORA - hansgrohe
Stage 2 | Teramo - San Salvo,07/05,(202k),19,AFFINI Edoardo,1:26,Jumbo-Visma
Stage 2 | Teramo - San Salvo,07/05,(202k),20,CARUSO Damiano,1:28,Bahrain - Victorious
Stage 2 | Teramo - San Salvo,07/05,(202k),21,BARTA Will,1:30,Movistar Team
Stage 2 | Teramo - San Salvo,07/05,(202k),22,VAN WILDER Ilan,1:31,Soudal - Quick Step
Stage 2 | Teramo - San Salvo,07/05,(202k),23,PÖSTLBERGER Lukas,1:36,Team Jayco AlUla
Stage 2 | Teramo - San Salvo,07/05,(202k),24,LEKNESSUND Andreas,1:37,Team DSM
Stage 2 | Teramo - San Salvo,07/05,(202k),25,GIBBONS Ryan,1:38,UAE Team Emirates
Stage 2 | Teramo - San Salvo,07/05,(202k),26,DUNBAR Eddie,1:44,Team Jayco AlUla
Stage 2 | Teramo - San Salvo,07/05,(202k),27,WÜRTZ SCHMIDT Mads,1:46,Israel - Premier Tech
Stage 2 | Teramo - San Salvo,07/05,(202k),28,MOLLEMA Bauke,",,",Trek - Segafredo
Stage 2 | Teramo - San Salvo,07/05,(202k),29,DE BOD Stefan,1:48,EF Education-EasyPost
Stage 2 | Teramo - San Salvo,07/05,(202k),30,BETTIOL Alberto,1:51,EF Education-EasyPost
Stage 2 | Teramo - San Salvo,07/05,(202k),31,BYSTRØM Sven Erik,",,",Intermarché - Circus - Wanty
Stage 2 | Teramo - San Salvo,07/05,(202k),32,SIVAKOV Pavel,1:52,INEOS Grenadiers
Stage 2 | Teramo - San Salvo,07/05,(202k),33,ULISSI Diego,1:53,UAE Team Emirates
Stage 2 | Teramo - San Salvo,07/05,(202k),34,URÁN Rigoberto,1:54,EF Education-EasyPost
Stage 2 | Teramo - San Salvo,07/05,(202k),35,HAIG Jack,1:55,Bahrain - Victorious
Stage 2 | Teramo - San Salvo,07/05,(202k),36,OLDANI Stefano,1:56,Alpecin-Deceuninck
Stage 2 | Teramo - San Salvo,07/05,(202k),37,KONRAD Patrick,",,",BORA - hansgrohe
Stage 2 | Teramo - San Salvo,07/05,(202k),38,HESSMANN Michel,",,",Jumbo-Visma
Stage 2 | Teramo - San Salvo,07/05,(202k),39,CORT Magnus,1:57,EF Education-EasyPost
Stage 2 | Teramo - San Salvo,07/05,(202k),40,TAARAMÄE Rein,1:59,Intermarché - Circus - Wanty
Stage 2 | Teramo - San Salvo,07/05,(202k),41,DE MARCHI Alessandro,2:00,Team Jayco AlUla
Stage 2 | Teramo - San Salvo,07/05,(202k),42,JUNGELS Bob,",,",BORA - hansgrohe
